kind	lexemeA	targetA	lexemeB	targetB	count
vobj	lx-0038	ser	lx-0407	metge	3
vobj	lx-0038	ser	lx-0894	metgessa	3
vobj	lx-0038	ser	lx-1012	metro	3
vobj	lx-0038	ser	lx-0749	minut	3
vobj	lx-0038	ser	lx-0084	nit	3
vobj	lx-0038	ser	lx-0006	noi	3
vobj	lx-0038	ser	lx-0908	noia	3
vobj	lx-0038	ser	lx-2047	obra	3
vobj	lx-0038	ser	lx-1978	or	3
vobj	lx-0038	ser	lx-0725	os	3
vobj	lx-0038	ser	lx-0413	pacient	3
vobj	lx-0038	ser	lx-0095	país	3
vobj	lx-0038	ser	lx-3132	paquet	3
vobj	lx-0038	ser	lx-0029	persona	3
vobj	lx-0038	ser	lx-0979	pintura	3
vobj	lx-0038	ser	lx-0921	plat	3
vobj	lx-0038	ser	lx-1011	port	3
vobj	lx-0038	ser	lx-4511	pràctica	3
vobj	lx-0038	ser	lx-1350	principi	3
vobj	lx-0038	ser	lx-0309	professor	3
vobj	lx-0038	ser	lx-1398	públic	3
vobj	lx-0038	ser	lx-1028	realitat	3
vobj	lx-0038	ser	lx-4096	regal	3
vobj	lx-0038	ser	lx-0577	riu	3
vobj	lx-0038	ser	lx-0741	roba	3
vobj	lx-0038	ser	lx-1020	solució	3
vobj	lx-0038	ser	lx-4104	tema	3
vobj	lx-0038	ser	lx-0072	vida	3
vobj	lx-0531	seure	lx-0366	cadira	3
vobj	lx-0473	sopar	lx-0084	nit	3
vobj	lx-0197	sortir	lx-0559	tren	3
vobj	lx-0054	tenir	lx-0088	amic	3
vobj	lx-0054	tenir	lx-0069	casa	3
vobj	lx-0054	tenir	lx-0100	cotxe	3
vobj	lx-0054	tenir	lx-1330	empresa	3
vobj	lx-0054	tenir	lx-4369	forma	3
vobj	lx-0054	tenir	lx-2090	gust	3
vobj	lx-0054	tenir	lx-0340	mes	3
vobj	lx-0054	tenir	lx-0182	pàgina	3
vobj	lx-0054	tenir	lx-0604	por	3
vobj	lx-0054	tenir	lx-1135	prova	3
vobj	lx-0054	tenir	lx-0082	ull	3
vobj	lx-0054	tenir	lx-2948	veu	3
vobj	lx-0054	tenir	lx-0556	viatge	3
vobj	lx-0477	tornar	lx-0069	casa	3
vobj	lx-0105	treballar	lx-2038	condició	3
vobj	lx-0105	treballar	lx-0071	dona	3
vobj	lx-0105	treballar	lx-0317	música	3
vobj	lx-0110	trobar	lx-0080	feina	3
vobj	lx-0110	trobar	lx-1020	solució	3
vobj	lx-0196	venir	lx-0339	setmana	3
vobj	lx-0058	veure	lx-1582	canal	3
vobj	lx-4075	visitar	lx-0994	museu	3
vobj	lx-0104	viure	lx-0067	any	3
vobj	lx-0104	viure	lx-0094	carrer	3
vobj	lx-0104	viure	lx-0069	casa	3
vobj	lx-0104	viure	lx-0093	ciutat	3
vobj	lx-0104	viure	lx-0137	pis	3
vobj	lx-0060	voler	lx-0535	projecte	3
